id,department,sponsor,title,themes,skills,output,value,mentor_time,confidentiality
need-021,Corporate Supplies & Administration,Supplies & Administration Team,Supplier Performance Scorecard,"{""Finance & Efficiency"",""Data & Analytics""}","{""Data analysis"",""Excel / Power BI"",""Process improvement""}","Supplier scorecard template + dashboard","Strengthens supplier management and negotiation preparation.","30 minutes per week",Medium
need-022,Corporate Supplies & Administration,Supplies & Administration Team,Office Supplies Demand Forecasting,"{""Finance & Efficiency"",""Data & Analytics""}","{""Data analysis"",""Excel / Power BI"",""Process improvement""}","Forecasting spreadsheet prototype","Reduces over-ordering and stockouts of office supplies.","15 minutes per week",Low
need-023,Group Safety & Environmental Management,Safety & Environmental Team,Incident Data Trend Analysis,"{""Safety & Operations"",""Data & Analytics""}","{""Data analysis"",""Excel / Power BI"",""Engineering knowledge""}","Incident trend dashboard + prevention suggestions","Focuses safety efforts on the highest-risk areas.","30 minutes per week",Medium
need-024,Group Safety & Environmental Management,Safety & Environmental Team,Safety Micro-Learning Content Sprint,"{""Safety & Operations"",""Corporate Communications""}","{""Design"",""Writing / storytelling"",""Video / media production""}","Storyboard + sample micro-learning content","Makes safety training more engaging for frontline staff.","30 minutes per week",Low
need-025,Group Training & Development,Training & Development Team,Course Feedback Analytics,"{""HR & Employee Experience"",""Data & Analytics""}","{""Data analysis"",""Excel / Power BI"",""Presentation skills""}","Feedback dashboard + course improvement list","Aligns training offerings with employee learning needs.","30 minutes per week",Low
need-026,Group Training & Development,Training & Development Team,Micro-Learning Video Pilot,"{""HR & Employee Experience"",""Corporate Communications""}","{""Video / media production"",""Design"",""Writing / storytelling""}","Sample micro-learning video + production plan","Makes internal training more flexible and engaging.","30 minutes per week",Low
need-027,Customer Services Stream,Customer Services Team,Customer App Journey Review,"{""Customer Experience"",""Digital & AI""}","{""Customer mindset"",""UX review"",""Presentation skills""}","Customer journey map + improvement suggestions","Supports better digital adoption and service experience.","30 minutes per week",Low
need-028,Customer Services Stream,Customer Services Team,Hotline Call Driver Analysis,"{""Customer Experience"",""Data & Analytics""}","{""Data analysis"",""Customer mindset"",""Excel / Power BI""}","Call driver report + reduction actions","Reduces repeat calls by addressing root causes.","30 minutes per week",Medium
need-029,Finance Division,Finance Team,Department Expense Dashboard,"{""Finance & Efficiency"",""Data & Analytics""}","{""Finance analysis"",""Excel / Power BI"",""Data analysis""}","Interactive expense dashboard","Gives managers real-time visibility of departmental spending.","30 minutes per week",Medium
need-030,Finance Division,Finance Team,Invoice Processing Automation Pilot,"{""Digital & AI"",""Finance & Efficiency""}","{""AI tools"",""Coding / automation"",""Process improvement""}","Automation proof-of-concept + time-saving estimate","Reduces manual invoice handling and processing errors.","30 minutes per week",Medium
need-031,Group Legal,Legal Team,Contract Clause Library Prototype,"{""Digital & AI"",""Finance & Efficiency""}","{""Research"",""Writing / storytelling"",""AI tools""}","Searchable clause library prototype","Speeds up contract drafting and review work.","30 minutes per week",Medium
need-032,Group Legal,Legal Team,Regulatory Update Digest,"{""Business Research"",""Corporate Communications""}","{""Research"",""English writing"",""Chinese writing""}","Monthly regulatory digest template","Keeps departments aware of relevant legal and regulatory changes.","15 minutes per week",Low
need-033,Gas Production Stream,Gas Production Team,Production Plant Data Visualization,"{""Engineering Innovation"",""Data & Analytics""}","{""Engineering knowledge"",""Data analysis"",""Excel / Power BI""}","Plant performance dashboard prototype","Improves visibility of production KPIs for plant engineers.","30 minutes per week",Medium
need-034,Gas Production Stream,Gas Production Team,Plant Energy Efficiency Study,"{""Engineering Innovation"",""ESG & Sustainability""}","{""Engineering knowledge"",""Research"",""Data analysis""}","Efficiency opportunity report","Identifies energy saving opportunities in gas production.","30 minutes per week",Medium
need-035,Manufacturing Business,Manufacturing Team,Production Line Downtime Analysis,"{""Engineering Innovation"",""Finance & Efficiency""}","{""Data analysis"",""Engineering knowledge"",""Excel / Power BI""}","Downtime pareto analysis + action list","Reduces production losses from unplanned downtime.","30 minutes per week",Medium
need-036,Manufacturing Business,Manufacturing Team,Quality Inspection Record Digitization,"{""Digital & AI"",""Safety & Operations""}","{""Coding / automation"",""Process improvement"",""Excel / Power BI""}","Digital inspection record prototype","Speeds up quality traceability and reporting.","30 minutes per week",Low
need-037,Marketing & Sales Stream,Marketing & Sales Team,Social Media Content Performance Review,"{""Customer Experience"",""Digital & AI""}","{""Marketing"",""Data analysis"",""Design""}","Content performance report + content calendar","Improves digital engagement with younger customer segments.","30 minutes per week",Low
need-038,Marketing & Sales Stream,Marketing & Sales Team,Customer Persona Research Sprint,"{""Customer Experience"",""Business Research""}","{""Research"",""Marketing"",""Presentation skills""}","2-3 customer persona profiles","Sharpens targeting and messaging for future campaigns.","30 minutes per week",Low
need-039,Gas Network,Network Operations Team,Network Inspection Route Optimization,"{""Safety & Operations"",""Data & Analytics""}","{""Data analysis"",""Excel / Power BI"",""Process improvement""}","Optimized route map + analysis report","Cuts inspection travel time and improves network coverage.","30 minutes per week",Medium
need-040,Gas Network,Network Operations Team,Valve Maintenance Record Digitalization,"{""Digital & AI"",""Safety & Operations""}","{""Coding / automation"",""Excel / Power BI"",""Process improvement""}","Searchable digital record prototype","Speeds up maintenance history lookup for field engineers.","30 minutes per week",Medium
need-041,Project Marketing & Sales,Project Marketing & Sales Team,Project Sales Pipeline Tracker,"{""Finance & Efficiency"",""Data & Analytics""}","{""Data analysis"",""Excel / Power BI"",""Project coordination""}","Pipeline dashboard prototype","Gives sales managers clear visibility of project stages.","30 minutes per week",Medium
need-042,Project Marketing & Sales,Project Marketing & Sales Team,New Estate Partnership Proposal Pack,"{""Customer Experience"",""Business Research""}","{""Writing / storytelling"",""Design"",""Presentation skills""}","Proposal template + sample pitch deck","Helps win gas supply contracts for new property developments.","30 minutes per week",Low
need-043,Property Management,Property Management Team,Tenant Satisfaction Survey Analysis,"{""Customer Experience"",""Data & Analytics""}","{""Data analysis"",""Customer mindset"",""Excel / Power BI""}","Survey dashboard + improvement actions","Improves tenant retention through better service.","30 minutes per week",Low
need-044,Property Management,Property Management Team,Building Energy Consumption Dashboard,"{""ESG & Sustainability"",""Data & Analytics""}","{""Data analysis"",""Excel / Power BI"",""Engineering knowledge""}","Energy dashboard prototype","Identifies energy saving opportunities across managed properties.","30 minutes per week",Medium
need-045,Product Development,Product Development Team,Smart Appliance Feature Benchmarking,"{""Open Innovation"",""Customer Experience""}","{""Research"",""UX review"",""Presentation skills""}","Feature benchmarking report","Guides roadmap priorities for smart appliance products.","30 minutes per week",Low
need-046,Product Development,Product Development Team,Product Feedback Tagging with AI,"{""Digital & AI"",""Customer Experience""}","{""AI tools"",""Data analysis"",""Customer mindset""}","Tagged feedback dataset + insight summary","Speeds up analysis of customer product feedback.","30 minutes per week",Low
need-047,Retail Marketing & Sales,Retail Marketing & Sales Team,Retail Campaign Concept Board,"{""Customer Experience""}","{""Marketing"",""Design"",""Writing / storytelling""}","Campaign concept board + sample posts","Supports seasonal appliance and gas retail promotions.","30 minutes per week",Low
need-048,Retail Marketing & Sales,Retail Marketing & Sales Team,Retail Customer Feedback Analysis,"{""Customer Experience"",""Data & Analytics""}","{""Data analysis"",""Customer mindset"",""Excel / Power BI""}","Feedback report + service improvement actions","Turns retail feedback into better customer experience.","30 minutes per week",Low
need-049,Towngas Training Institute,Training Institute Team,Training Course Catalogue Redesign,"{""HR & Employee Experience"",""Customer Experience""}","{""Design"",""Writing / storytelling"",""Project coordination""}","Redesigned catalogue mockup","Makes course offerings easier to browse and enrol in.","15 minutes per week",Low
need-050,Towngas Training Institute,Training Institute Team,Apprentice Learning Progress Tracker,"{""HR & Employee Experience"",""Data & Analytics""}","{""Data analysis"",""Excel / Power BI"",""Project coordination""}","Progress tracking dashboard prototype","Helps instructors monitor apprentice development systematically.","30 minutes per week",Low
